id,menu_name,img_path
1,디카페인 아메리카노(HOT),img/drinks/HOT_디카페인 아메리카노.jpg
2,디카페인 꿀아메리카노(HOT),img/drinks/HOT_디카페인 꿀아메리카노.jpg
3,디카페인 헤이즐넛아메리카노,img/drinks/ICE_디카페인 헤이즐넛 아메리카노.jpg
4,디카페인 바닐라아메리카노,img/drinks/ICE_디카페인 바닐라 아메리카노.jpg
5,디카페인 카페라떼(HOT),img/drinks/HOT_디카페인 카페라떼.jpg
6,디카페인 바닐라라떼(HOT),img/drinks/HOT_디카페인 바닐라라떼.jpg
7,디카페인 연유라떼(HOT),img/drinks/HOT_디카페인 연유라떼.jpg
8,디카페인 카라멜마끼아또(HOT),img/drinks/HOT_디카페인 카라멜마끼아또.jpg
9,디카페인 카페모카(HOT),img/drinks/HOT_디카페인 카페모카.jpg
10,디카페인 카푸치노(HOT),img/drinks/HOT_디카페인 카푸치노.jpg
11,디카페인 헤이즐넛라떼(HOT),img/drinks/HOT_디카페인 헤이즐넛 라떼.jpg
12,디카페인 티라미수라떼(HOT),img/drinks/HOT_디카페인 티라미수라떼.jpg
13,디카페인 메가리카노,img/drinks/ICE_디카페인 메가리카노.jpg
14,디카페인 아메리카노,img/drinks/ICE_디카페인 아메리카노.jpg
15,디카페인 꿀아메리카노,img/drinks/ICE_디카페인 꿀아메리카노.jpg
16,디카페인 헤이즐넛 아메리카노,img/drinks/ICE_디카페인 헤이즐넛 아메리카노.jpg
17,디카페인 바닐라 아메리카노,img/drinks/ICE_디카페인 바닐라 아메리카노.jpg
18,디카페인 카페라떼,img/drinks/ICE_디카페인 카페라떼.jpg
19,디카페인 바닐라라떼,img/drinks/ICE_디카페인 바닐라라떼.jpg
20,디카페인 카라멜마끼아또,img/drinks/ICE_디카페인 카라멜마끼아또.jpg
21,디카페인 카페모카,img/drinks/ICE_디카페인 카페모카.jpg
22,디카페인 카푸치노,img/drinks/ICE_디카페인 카푸치노.jpg
23,디카페인 헤이즐넛라떼,img/drinks/ICE_디카페인 헤이즐넛 라떼.jpg
24,디카페인 티라미수라떼,img/drinks/ICE_디카페인 티라미수라떼.jpg
25,수박 화채 스무디,img/drinks/수박 화채 스무디.jpg
26,코코넛 커피 스무디,img/drinks/코코넛 커피 스무디.jpg
27,플레인퐁크러쉬,img/drinks/ICE_플레인퐁크러쉬.jpg
28,초코허니퐁크러쉬,img/drinks/ICE_초코허니퐁크러쉬.jpg
29,슈크림허니퐁크러쉬,img/drinks/ICE_슈크림허니퐁크러쉬.jpg
30,딸기퐁크러쉬,img/drinks/ICE_딸기퐁크러쉬.jpg
31,바나나퐁크러쉬,img/drinks/ICE_바나나퐁크러쉬.jpg
32,스모어블랙쿠키프라페,img/drinks/ICE_스모어 블랙쿠키 프라페.jpg
33,쿠키프라페,img/drinks/ICE_쿠키프라페.jpg
34,딸기쿠키프라페,img/drinks/ICE_딸기쿠키프라페.jpg
35,민트프라페,img/drinks/ICE_민트프라페.jpg
36,커피프라페,img/drinks/ICE_커피프라페.jpg
37,리얼초코프라페,img/drinks/ICE_리얼초코프라페.jpg
38,녹차프라페,img/drinks/ICE_녹차프라페.jpg
39,유니콘프라페,img/drinks/ICE_유니콘프라페.jpg
40,스트로베리치즈홀릭,img/drinks/ICE_스트로베리치즈홀릭.jpg
41,플레인요거트스무디,img/drinks/ICE_플레인요거트스무디.jpg
42,딸기요거트스무디,img/drinks/ICE_딸기요거트스무디.jpg
43,망고요거트스무디,img/drinks/ICE_망고요거트스무디.jpg
44,수박 주스,img/drinks/수박 주스.jpg
45,레드오렌지자몽주스,img/drinks/레드오렌지자몽주스.jpg
46,샤인머스켓그린주스,img/drinks/샤인머스캣그린주스.jpg
47,딸기주스,img/drinks/딸기주스.jpg
48,딸기바나나주스,img/drinks/딸기바나나주스.jpg
49,메가에이드,img/drinks/ICE_메가에이드.jpg
50,레몬에이드,img/drinks/ICE_레몬에이드.jpg
51,블루레몬에이드,img/drinks/ICE_블루레몬에이드.jpg
52,자몽에이드,img/drinks/ICE_자몽에이드.jpg
53,청포도에이드,img/drinks/ICE_청포도에이드.jpg
54,유니콘매직에이드(블루),img/drinks/ICE_유니콘매직에이드(블루).jpg
55,유니콘매직에이드(핑크),img/drinks/ICE_유니콘매직에이드(핑크).jpg
56,체리콕,img/drinks/ICE_체리콕.jpg
57,라임모히또,img/drinks/ICE_라임모히또.jpg
58,딸기라떼,img/drinks/ICE_딸기라떼.jpg
59,아이스초코,img/drinks/ICE_아이스초코.jpg
60,오레오초코라떼,img/drinks/ICE_오레오초코라떼.jpg
61,메가초코(HOT),img/drinks/HOT_메가초코.jpg
62,녹차라떼(HOT),img/drinks/HOT_녹차라떼.jpg
63,곡물라떼(HOT),img/drinks/HOT_곡물라떼.jpg
64,고구마라떼(HOT),img/drinks/HOT_고구마라떼.jpg
65,토피넛라떼(HOT),img/drinks/HOT_토피넛라떼.jpg
66,로얄밀크티라떼(HOT),img/drinks/HOT_로얄밀크티라떼.jpg
67,흑당라떼,img/drinks/ICE_흑당라떼.jpg
68,흑당밀크티라떼,img/drinks/ICE_흑당밀크티라떼.jpg
69,흑당버블라떼,img/drinks/ICE_흑당버블라떼.jpg
70,흑당버블밀크티라떼,img/drinks/ICE_흑당버블밀크티라떼.jpg
71,핫초코(HOT),img/drinks/HOT_핫초코.jpg
72,메가초코,img/drinks/ICE_메가초코.jpg
73,로얄밀크티라떼,img/drinks/ICE_로얄밀크티라떼.jpg
74,녹차라떼,img/drinks/ICE_녹차라떼.jpg
75,고구마라떼,img/drinks/ICE_고구마라떼.jpg
76,곡물라떼,img/drinks/ICE_곡물라떼.jpg
77,토피넛라떼,img/drinks/ICE_토피넛라떼.jpg
78,콜드브루오리지널(HOT),img/drinks/HOT_콜드브루오리지널.jpg
79,콜드브루라떼(HOT),img/drinks/HOT_콜드브루라떼.jpg
80,콜드브루오리지널,img/drinks/ICE_콜드브루오리지널.jpg
81,콜드브루라떼,img/drinks/ICE_콜드브루라떼.jpg
82,콜드브루 디카페인(HOT),img/drinks/HOT_콜드브루디카페인.jpg
83,콜드브루 디카페인,img/drinks/ICE_콜드브루디카페인.jpg
84,콜드브루 디카페인라떼(HOT),img/drinks/HOT_콜드브루디카페인라떼.jpg
85,콜드브루 디카페인라떼,img/drinks/ICE_콜드브루디카페인라떼.jpg
86,아메리카노(HOT),img/drinks/HOT_아메리카노.jpg
87,꿀아메리카노(HOT),img/drinks/HOT_꿀아메리카노.jpg
88,헤이즐넛아메리카노(HOT),img/drinks/HOT_헤이즐넛아메리카노.jpg
89,바닐라아메리카노(HOT),img/drinks/HOT_바닐라아메리카노.jpg
90,카페라떼(HOT),img/drinks/HOT_카페라떼.jpg
91,바닐라라떼(HOT),img/drinks/HOT_바닐라라떼.jpg
92,연유라떼(HOT),img/drinks/HOT_연유라떼.jpg
93,카라멜마끼야또,img/drinks/ICE_카라멜마끼아또.jpg
94,카페모카(HOT),img/drinks/HOT_카페모카.jpg
95,카푸치노(HOT),img/drinks/HOT_카푸치노.jpg
96,헤이즐넛라떼(HOT),img/drinks/HOT_헤이즐넛라떼.jpg
97,티라미수라떼(HOT),img/drinks/HOT_티라미수라떼.jpg
98,메가리카노,img/drinks/ICE_메가리카노.jpg
99,아메리카노,img/drinks/ICE_아메리카노.jpg
100,꿀아메리카노,img/drinks/ICE_꿀아메리카노.jpg
101,헤이즐넛아메리카노,img/drinks/ICE_헤이즐넛아메리카노.jpg
102,바닐라아메리카노,img/drinks/ICE_바닐라아메리카노.jpg
103,큐브라떼,img/drinks/ICE_큐브라떼.jpg
104,카페라떼,img/drinks/ICE_카페라떼.jpg
105,바닐라라떼,img/drinks/ICE_바닐라라떼.jpg
106,카라멜마끼아또(HOT),img/drinks/HOT_카라멜마끼아또.jpg
107,카페모카,img/drinks/ICE_카페모카.jpg
108,카푸치노,img/drinks/ICE_카푸치노.jpg
109,헤이즐넛라떼,img/drinks/ICE_헤이즐넛라떼.jpg
110,티라미수라떼,img/drinks/ICE_티라미수라떼.jpg
111,트로피컬 용과 티플레져,img/drinks/트로피컬 용과 티플레저.jpg
112,복숭아아이스티,img/drinks/ICE_복숭아아이스티.jpg
113,허니자몽블랙티(HOT),img/drinks/HOT_허니자몽블랙티.jpg
114,사과유자차(HOT),img/drinks/HOT_사과유자차.jpg
115,유자차(HOT),img/drinks/HOT_유자차.jpg
116,레몬차(HOT),img/drinks/HOT_레몬차.jpg
117,자몽차(HOT),img/drinks/HOT_자몽차.jpg
118,녹차(HOT),img/drinks/HOT_녹차.jpg
119,페퍼민트(HOT),img/drinks/HOT_페퍼민트.jpg
120,캐모마일(HOT),img/drinks/HOT_캐모마일.jpg
121,얼그레이(HOT),img/drinks/HOT_얼그레이.jpg
122,허니자몽블랙티,img/drinks/ICE_허니자몽블랙티.jpg
123,사과유자차,img/drinks/ICE_사과유자차.jpg
124,유자차,img/drinks/ICE_유자차.jpg
125,레몬차,img/drinks/ICE_레몬차.jpg
126,자몽차,img/drinks/ICE_자몽차.jpg
127,녹차,img/drinks/ICE_녹차.jpg
128,페퍼민트,img/drinks/ICE_페퍼민트.jpg
129,캐모마일,img/drinks/ICE_캐모마일.jpg
130,얼그레이,img/drinks/ICE_얼그레이.jpg
131,첨벙첨벙간식꾸러미,img/food/첨벙첨벙 간식꾸러미.jpg
132,오레오초코퐁파르페,img/food/오레오초코 퐁파르페.jpg
133,딸기크림퐁파르페,img/food/딸기크림 퐁파르페.jpg
134,그레놀라스모어쿠키,img/food/그래놀라 스모어 쿠키.jpg
135,크로크무슈,img/food/크로크무슈.jpg
136,미트파이,img/food/미트파이.jpg
137,버터버터소금빵,img/food/버터버터소금빵.jpg
138,제주당근에그마요샌드위치,img/food/제주당근에그마요.jpg
139,허니버터피자,img/food/허니버터 피자.jpg
140,마르게리타피자,img/food/마르게리타 피자.jpg
141,경산대추과즐,img/food/경산 대추 과즐.jpg
142,장수사과비건젤리,img/food/장수 사과 비건 젤리.jpg
143,햄앤치즈샌드,img/food/햄앤치즈샌드.jpg
144,아이스허니와앙슈,img/food/아이스허니와앙슈.jpg
145,몽쉘케이크,img/food/몽쉘케이크.jpg
146,말차스모어쿠키,img/food/말차스모어쿠키.jpg
147,초코스모어쿠키,img/food/초코스모어쿠키.jpg
148,감자빵,img/food/감자빵.jpg
149,유니콘프라페마카롱,img/food/유니콘프라페마카롱.jpg
150,쿠키프라페마카롱,img/food/쿠키프라페마카롱.jpg
151,메가초코마카롱,img/food/메가초코 마카롱.jpg
152,딸기요거트마카롱,img/food/딸기요거트 마카롱.jpg
153,치즈케익,img/food/치즈케익.jpg
154,초코케익,img/food/초코무스케익.jpg
155,티라미수케익,img/food/티라미수케익.jpg
156,허니브레드,img/food/허니브레드.jpg
157,핫도그,img/food/핫도그.jpg
158,메가쿠기(초코칩),img/food/초콜릿칩 쿠키.jpg
159,메가쿠키(마카다미아),img/food/마카다미아 쿠키.jpg
160,플레인크로플,img/food/플레인크로플.jpg
161,아이스크림크로플,img/food/아이스크림크로플.jpg
